Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
11.0|Stanley Clerveaux|JR|WR|6|2|12|6.00|0|0.3|2.0|651|2017
12.0|Darius Tice|SR|RB|7|1|5|5.00|0|0.1|0.7|651|2017
|Total|||7|97|1321|13.62|12|13.9|188.7|651|2017
|Opponents|||7|120|1496|12.47|8|17.1|213.7|651|2017
1.0|Korey Robertson|JR|WR|7|37|515|13.92|7|5.3|73.6|664|2017
2.0|Allenzae Staggers|SR|WR|7|24|316|13.17|3|3.4|45.1|664|2017
3.0|Quez Watkins|FR|WR|7|16|249|15.56|2|2.3|35.6|664|2017
4.0|Ito Smith|SR|RB|7|24|232|9.67|1|3.4|33.1|664|2017
5.0|Jaylond Adams|FR|WR|7|6|197|32.83|1|0.9|28.1|664|2017
6.0|Isaiah Jones|SR|WR|7|14|113|8.07|0|2.0|16.1|664|2017
7.0|Jay'Shawn Washington|JR|TE|7|5|71|14.20|1|0.7|10.1|664|2017
8.0|Tez Parks|JR|RB|4|7|58|8.29|0|1.8|14.5|664|2017
9.0|Chase Whitehead|JR|WR|2|1|35|35.00|0|0.5|17.5|664|2017
10.0|Tim Jones|FR|WR|4|2|24|12.00|0|0.5|6.0|664|2017
11.0|Julian Allen|SR|TE|6|2|18|9.00|0|0.3|3.0|664|2017
12.0|Collin Kilcrease|JR|RB|6|1|8|8.00|0|0.2|1.3|664|2017
13.0|Ben Olinger|SR|WR|1|1|4|4.00|0|1.0|4.0|664|2017
14.0|T'Rod Daniels|JR|RB|7|1|3|3.00|0|0.1|0.4|664|2017
|Total|||7|141|1843|13.07|15|20.1|263.3|664|2017
|Opponents|||7|108|1423|13.18|6|15.4|203.3|664|2017
1.0|JJ Arcega-Whiteside|JR|WR|5|19|304|16.00|4|3.8|60.8|674|2017
2.0|Trenton Irwin|JR|WR|7|23|265|11.52|1|3.3|37.9|674|2017
3.0|Kaden Smith|SO|TE|7|11|189|17.18|1|1.6|27.0|674|2017
4.0|Connor Wedington|FR|WR|7|17|168|9.88|0|2.4|24.0|674|2017
5.0|Dalton Schultz|SR|TE|7|15|162|10.80|2|2.1|23.1|674|2017
6.0|Donald Stewart|SO|WR|7|8|103|12.88|0|1.1|14.7|674|2017
7.0|Cameron Scarlett|JR|RB|7|3|86|28.67|0|0.4|12.3|674|2017
8.0|Colby Parkinson|FR|TE|7|7|64|9.14|4|1.0|9.1|674|2017
9.0|Bryce Love|JR|RB|7|4|19|4.75|0|0.6|2.7|674|2017
10.0|Ryan Burns|SR|QB|5|1|16|16.00|0|0.2|3.2|674|2017
11.0|Scooter Harrington|SO|TE|5|3|10|3.33|0|0.6|2.0|674|2017
|Total|||7|111|1386|12.49|12|15.9|198.0|674|2017
|Opponents|||7|133|1544|11.61|10|19.0|220.6|674|2017
