Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
14.0|Matt Hennessy|FR|OL|7|1|-3|-3.00|0|0.14|-0.43|690|2017
15.0|Logan Marchi|SO|QB|7|26|-30|-1.15|0|3.71|-4.29|690|2017
|Total|||8|280|934|3.34|8|35.00|116.75|690|2017
|Opponents|||8|311|1418|4.56|14|38.88|177.25|690|2017
1.0|John Kelly|JR|RB|7|125|615|4.92|6|17.86|87.86|694|2017
2.0|Ty Chandler|FR|RB|7|27|118|4.37|0|3.86|16.86|694|2017
3.0|Carlin Fils-aime|SO|RB|6|11|74|6.73|2|1.83|12.33|694|2017
4.0|Tim Jordan|FR|RB|7|7|36|5.14|0|1.00|5.14|694|2017
5.0|Tyler Byrd|SO|WR|6|1|15|15.00|0|0.17|2.50|694|2017
6.0|Quinten Dormady|JR|QB|6|11|13|1.18|0|1.83|2.17|694|2017
7.0|Trey Coleman|FR|RB|2|4|9|2.25|0|2.00|4.50|694|2017
8.0|Josh Palmer|FR|WR|7|1|6|6.00|0|0.14|0.86|694|2017
9.0|Marquez Callaway|SO|WR|7|1|4|4.00|0|0.14|0.57|694|2017
10.0|Jarrett Guarantano|FR|QB|5|38|-8|-0.21|0|7.60|-1.60|694|2017
11.0|Team|||5|3|-10|-3.33|0|0.60|-2.00|694|2017
|Total|||7|229|872|3.81|8|32.71|124.57|694|2017
|Opponents|||7|338|1729|5.12|16|48.29|247.00|694|2017
1.0|Chris Warren III|JR|RB|7|67|307|4.58|5|9.57|43.86|703|2017
2.0|Sam Ehlinger|FR|QB|5|84|261|3.11|2|16.80|52.20|703|2017
3.0|Kyle Porter|SO|RB|6|56|161|2.88|3|9.33|26.83|703|2017
4.0|Toneil Carter|FR|RB|5|22|111|5.05|1|4.40|22.20|703|2017
5.0|Shane Buechele|SO|QB|3|31|66|2.13|1|10.33|22.00|703|2017
6.0|Jerrod Heard|JR|WR|7|15|58|3.87|2|2.14|8.29|703|2017
7.0|Lil'Jordan Humphrey|SO|WR|7|1|37|37.00|0|0.14|5.29|703|2017
8.0|Daniel Young|FR|RB|7|4|27|6.75|0|0.57|3.86|703|2017
9.0|Reggie Hemphill-Mapps|FR|WR|7|4|26|6.50|0|0.57|3.71|703|2017
10.0|Armanti Foreman|SR|WR|5|4|14|3.50|0|0.80|2.80|703|2017
11.0|P.J. Locke III|JR|DB|7|0|4|-|0|-|-|703|2017
12.0|Team|||6|1|-5|-5.00|0|0.17|-0.83|703|2017
|Total|||7|289|1060|3.67|14|41.29|151.43|703|2017
|Opponents|||7|247|846|3.43|8|35.29|120.86|703|2017
1.0|Trayveon Williams|SO|RB|6|91|440|4.84|5|15.17|73.33|697|2017
2.0|Keith Ford|SR|RB|7|77|343|4.45|7|11.00|49.00|697|2017
3.0|Kellen Mond|FR|QB|7|80|318|3.98|3|11.43|45.43|697|2017
4.0|Kendall Bussey|SO|RB|7|37|221|5.97|1|5.29|31.57|697|2017
5.0|Jacob Kibodi|FR|RB|3|5|104|20.80|1|1.67|34.67|697|2017
6.0|Kwame Etwi|JR|RB|1|6|35|5.83|0|6.00|35.00|697|2017
7.0|Christian Kirk|JR|WR|7|3|27|9.00|0|0.43|3.86|697|2017
8.0|Jake Hubenak|SR|QB|2|9|6|0.67|0|4.50|3.00|697|2017
9.0|Roshauud Paul|FR|WR|7|1|6|6.00|0|0.14|0.86|697|2017
