4.0|Hayden Hunt|SR|P|12|1|1|100.0|29|29.0|0|0|343.6|0.1|2.4|156|2016
5.0|Detrich Clark|JR|WR|13|1|1|100.0|6|6.0|1|0|480.4|0.1|0.5|156|2016
|Total|||13|361|218|60.4|3181|8.8|29|7|157.04|27.8|244.7|156|2016
|Opponents|||13|315|185|58.7|2668|8.5|18|8|143.66|24.2|205.2|156|2016
1.0|Bryant Shirreffs|JR|QB|9|283|166|58.7|2010|7.1|7|6|122.24|31.4|223.3|164|2016
2.0|Donovan Williams|FR|QB|3|76|36|47.4|300|3.9|1|5|71.7|25.3|100.0|164|2016
3.0|Garrett Anderson|SR|QB|9|16|8|50.0|69|4.3|0|0|86.23|1.8|7.7|164|2016
4.0|Tyler Davis|FR||12|3|2|66.7|42|14.0|0|0|184.27|0.3|3.5|164|2016
5.0|Noel Thomas, Jr.|SR|WR|12|1|1|100.0|11|11.0|0|0|192.4|0.1|0.9|164|2016
6.0|Ron Johnson|JR|RB|12|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|164|2016
|Total|||12|380|213|56.1|2432|6.4|8|11|110.97|31.7|202.7|164|2016
|Opponents|||12|414|265|64.0|3176|7.7|20|7|141.01|34.5|264.7|164|2016
1.0|Daniel Jones|FR|QB|12|430|270|62.8|2836|6.6|16|9|126.28|35.8|236.3|193|2016
2.0|Parker Boehme|JR|QB|5|9|7|77.8|41|4.6|2|0|189.38|1.8|8.2|193|2016
3.0|Quentin Harris|FR|QB|1|3|0|0.0|0|0.0|0|0|0.0|3.0|0.0|193|2016
4.0|Austin Parker|FR|P|7|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|193|2016
|Total|||12|443|277|62.5|2877|6.5|18|9|126.43|36.9|239.8|193|2016
|Opponents|||12|322|177|55.0|2877|8.9|21|10|145.33|26.8|239.8|193|2016
1.0|Philip Nelson|SR|QB|10|349|237|67.9|2621|7.5|16|8|141.54|34.9|262.1|196|2016
2.0|Gardner Minshew|SO|QB|7|202|119|58.9|1347|6.7|8|4|124.03|28.9|192.4|196|2016
3.0|James Summers|SR|WR|12|2|2|100.0|46|23.0|1|0|458.2|0.2|3.8|196|2016
4.0|Zay Jones|SR|WR|12|1|1|100.0|2|2.0|1|0|446.8|0.1|0.2|196|2016
|Total|||12|554|359|64.8|4016|7.2|26|12|136.85|46.2|334.7|196|2016
|Opponents|||12|338|194|57.4|2691|8.0|17|5|137.92|28.2|224.3|196|2016
1.0|Brogan Roback|JR|QB|10|372|219|58.9|2694|7.2|18|7|131.91|37.2|269.4|204|2016
2.0|Todd Porter|JR|QB|5|142|87|61.3|1064|7.5|7|9|127.8|28.4|212.8|204|2016
